,price,time_since_posting,imgurl,url
691597112,750,0,https://images.craigslist.org/00I0I_5QLHX7cNcV0_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/west-hollywood-couch-cool-unique-mid/6915971127.html
689734005,500,25,https://images.craigslist.org/00h0h_9xpDl5H9ypa_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/brea-crate-barrel-couch-sofa/6897340054.html
690471988,400,15,https://images.craigslist.org/00f0f_h1gctbzwwIN_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/yorba-linda-grey-velvet-couch-hide-bed/6904719889.html
690015796,60,21,https://images.craigslist.org/00f0f_6feDM1KHNJ8_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/northridge-suede-sofa-couch-beige/6900157964.html
691595941,200,0,https://images.craigslist.org/00808_4LD0tPqkxk0_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-west-elm-tufted-gray-couch/6915959412.html
691595963,300,0,https://images.craigslist.org/00W0W_kpIV66guFZP_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-denim-couch/6915959638.html
691595857,0,0,https://images.craigslist.org/00E0E_gI5TjFBjOAb_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-sectional-couch-for-sale/6915958579.html
691595272,250,0,https://images.craigslist.org/01010_8PFyzRrSHYE_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/burbank-couch-pair/6915952727.html
689583885,6700,27,https://images.craigslist.org/00A0A_a5oBzEUILt7_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/north-hollywood-couch-set-living-room/6895838853.html
690600470,225,13,https://images.craigslist.org/00a0a_ekTwPFGwuCI_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/tarzana-sofa-couch-sage-color/6906004702.html
691594734,100,0,https://images.craigslist.org/00N0N_9PbOjuBYeAS_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-couch/6915947345.html
689595723,4895,27,https://images.craigslist.org/01111_9Mjr21XO0E8_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/burbank-sofa-set-couch/6895957238.html
689495380,200,28,https://images.craigslist.org/00v0v_jMFiHfxCvOt_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/culver-city-couch-sleeper-sofa/6894953808.html
691593929,500,0,https://images.craigslist.org/00909_h3EEsP8OFnB_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-mid-century-modern-vintage/6915939292.html
691593759,125,0,https://images.craigslist.org/00i0i_hBsiQHnFedX_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/pacoima-black-futon-couch/6915937592.html
690307521,250,17,https://images.craigslist.org/00U0U_9WvzYO9cWaf_600x450.jpg,https://losangeles.craigslist.org/sgv/fuo/d/pasadena-espresso-color-couch-sofa-with/6903075218.html
691593412,600,0,https://images.craigslist.org/00O0O_4d2crUe48Xv_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-mid-century-modern-couch/6915934126.html
691592863,250,0,https://images.craigslist.org/00k0k_8L25uVOwURu_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-gray-couch-furniture-moving/6915928637.html
691592381,200,0,https://images.craigslist.org/00z0z_d0iyGei9JK8_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/santa-monica-accent-couch/6915923817.html
691592069,150,0,https://images.craigslist.org/00L0L_hJcIstnnIpS_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/north-hills-couch-3-piece-sectional/6915920697.html
690465463,100,15,https://images.craigslist.org/00O0O_cmDmdGMmoyn_600x450.jpg,https://losangeles.craigslist.org/lgb/fuo/d/long-beach-couch-size-86-long/6904654631.html
691591537,0,0,https://images.craigslist.org/00H0H_aeNeaYuKUjt_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/van-nuys-free-sectional-couch/6915915370.html
691591158,750,0,https://images.craigslist.org/00c0c_3rO491FQlj_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/long-beach-three-piece-sectional-couch/6915911587.html
691590738,150,0,https://images.craigslist.org/00R0R_j0UvCokqGjU_600x450.jpg,https://losangeles.craigslist.org/lgb/fuo/d/long-beach-faux-leather-sleeper-couch/6915907388.html
691581614,399,0,https://images.craigslist.org/00505_hv1GXVIB8p8_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-sofa-couch-sectional-sofa/6915816147.html
